Stop Name,Latitude,Longitude
Thennika,9.980947591,76.48182512
Mythri Bus Stop,9.912757601,76.40830815
Fact Junction,10.06952041,76.30551886
Vavakad,10.1775003,76.20076334
Labour Junction,10.1818947,76.2048209
Kadamattom Church Stop,9.976816755,76.49772311
Kunnappilly Vetinary Hospital,10.3004626,76.39343922
Village,10.11910453,76.24662777
Changarathodu,9.789338026,76.30340687
Marian Nagar,10.22921491,76.36725081
Mambra,10.22746448,76.35014775
Ankallu,10.14337783,76.52520445
Kottamuri,10.24014448,76.27898946
Pally,10.04923097,76.30339322
Ponnamvelli,9.737534316,76.31837681
Ambalappady,10.04913108,76.42500444
Mini Civil Station Or Bhajanamadom,10.11749017,76.48005202
Manjapra,10.21498993,76.44925008
Chulli,9.613925475,76.30140225
Company Padi,9.932945743,76.50262831
Chandrapuraa,10.20457386,76.45224551
Thottam,10.07043217,76.44827855
Work Shop,10.04659353,76.30283633
Chandikkavala,10.23313824,76.41552476
Kadavul junction,10.12120002,76.47349962
Millumpadi,10.12244249,76.41832948
Thottappadanpadi,10.10226578,76.47504458
Nattika Panthrandam Kallu,10.4285552,76.10071882
School Padi,9.928768241,76.48698421
Eecharan Kavala,10.06720255,76.44770146
Malayattoor Kurishumudy Or Adivaram,10.20272933,76.50240162
Pallippadi,10.10306199,76.24967515
Marottychola Or Marottychod,10.22949758,76.36543171
Kmp Nagar Stop,9.92064005,76.28308099
Janatha Bus Stop,10.12078475,76.19930545
Shanthi Puram,10.26138892,76.18223536
Pypin Chuvadu,9.791216157,76.38174834
Valiyapallumthuruth,10.17019249,76.229633
Millum Padi,10.02057803,76.49079854
Diamon Mukk,10.14993734,76.26717707
Moozhikkulam,10.18762704,76.3284547
Edavanakkad Palli Stop,10.08275712,76.20963491
Deshabhimani Junction Bus Stop,9.999400787,76.29775882
Aluva Palace,10.11269986,76.35662656
Thorappu Bus Stop,10.06387908,76.36258299
Essan Muttam,10.20138832,76.32379476
Pallithazham,10.14972626,76.24028693
Railway Station,9.861561421,76.41081828
Thodaparambu,10.13124057,76.48204539
Pally Pady,10.23449775,76.40063387
Puthiya Road Junction,9.965294201,76.34027831
Champion School Bus Stop Or Changapuzha Cross Road,10.02491564,76.29854653
Kuthiyathodu,9.796613343,76.3158232
Aashan Road,10.49530832,76.06556801
Jeerulipady,10.17104194,76.54974911
Challenge Stop,9.723055718,76.29605156
Kothukaatipeediya,9.993998302,76.46566861
School padi,10.20813885,76.45287679
Government Polytechnic,10.14829969,76.47725757
Chooramudi,10.16554199,76.53523215
Kurlad,10.04266853,76.37880057
Hmc,10.03507391,76.27565817
Puthukulangara,10.46140217,76.08433759
Pottenchira,9.779834041,76.43495314
Saudi School,9.935045455,76.24598789
Ambalam,10.03491476,76.46035122
Velankanni Palli,9.831793956,76.27075425
Mulappuram,9.933446238,76.80061376
Diary Kavala,10.20130707,76.42209816
Kochin Refinery,9.968885611,76.37976006
Companypady,10.18449639,76.46696993
Vachakkal Bus Stop,10.09408981,76.20681958
Kothamangalam Kavala,10.20385673,76.53281114
Mazhuvannoor Road,10.01706613,76.48120787
Kalung,10.29366245,76.40070699
Lakshadweep Wharf,9.9487325,76.26845709
Glass Factory Junction,10.05990434,76.31019922
Thirumarayoor,9.860745473,76.45841207
Janatha,9.967200601,76.3141606
Parayakad Palam,10.16351888,76.22215107
Pendanam Mile,9.736227815,76.65826085
Palancherymugal,10.05736566,76.39098858
Cheraman Masjid,10.21291918,76.20254934
Divine Hospital,10.17145669,76.39830199
Mahilappady,10.12501288,76.24173552
Vymeeti Bus Stop,9.95633691,76.35314176
Meladoor Shappum Padi Bus Stop,10.23180697,76.30726581
Puthiya Road Junction,10.0011115,76.29021941
Padamugal Masjid Stop,10.01373815,76.33207394
Kodussery,10.19895453,76.34771999
Konnankulangara,10.09743387,76.25259115
Elambakapilly Valavu,10.15980265,76.492587
Unnichira,10.03024405,76.32002467
Company Padi Or Fact,10.07383903,76.29798155
Meloor Panchayath,10.29362287,76.35313555
Potten Therivu,10.14455499,76.22677467
Saint Benedict Junction,9.990333219,76.28205265
Edakkattu Vayal Junction,9.867296307,76.43762046
S H Stop,10.14077078,76.49073998
Karottakuriz,9.901720849,76.39310654
Parippumthode,10.23614382,76.39428848
Thripunitura Pazhya Bus Stand,9.949008098,76.34722654
Chathayam,9.855465479,76.29349028
Millumpadi,10.12240387,76.41829628
Plavinchuvadu,9.824140608,76.44752374
Maavin Chuvadu,10.08160488,76.52129114
Erappaam Kuzhi Junction,9.862736721,76.52772182
Chittor Dhyanakendram Or Shap Pady,10.03731595,76.27527324
Allapra Kurish,10.0954362,76.4717214
Thrichattukulam,9.833557084,76.33385698
Kunnapilli Shapumpadi,9.818084571,76.49185955
Nagapady Junction,9.922082195,76.39865651
Pop Kavala Or Scms College Junction,10.26786814,76.40747932
Kallungaparamb,10.07320174,76.35732613
Radio Kavala,10.17288603,76.45409202
Millumpady,10.17189452,76.45108498
Pallipady,10.14102128,76.36167216
Rajashree,9.986130331,76.4118274
Chembu,9.807322294,76.39689
Colombo Junction,9.972135692,76.27311332
Malancharakk,10.22608291,76.41418628
Chelad Church,10.095976,76.64028116
Sndp,10.15024554,76.20588964
Railway Cross,9.821680392,76.3015032
Panayikulam Junction,10.1021419,76.30149205
Sheemam Kunna Padi,9.863939319,76.53266351
Aashupatri Stop Or Vyapara Bhavan,10.06989987,76.27594657
Thond Kadav,10.16483657,76.45148865
Kizhakkambalam,10.03666151,76.40706584
Dhanya Pady,10.23730732,76.35041536
Kundannoor Junction,9.938448821,76.31813492
Mundamveli,9.923929435,76.25618798
Ithillparambu,10.15856747,76.20311184
West Kadungalloor,10.10667019,76.31847455
Cusat,10.04727227,76.31852074
Edachira,10.01678525,76.3691671
Pathadipalam,10.03817276,76.31535952
Bankupaddi,10.06398237,76.28535858
Vypin Padi,9.763682918,76.39570606
Aashupathri Padi Or Chengamanadu Government Hospital,10.15450354,76.33565123
Cheranalloor Boat Jetty,10.06891287,76.28326744
Palathali Road,10.01304815,76.51863213
Koonamthai,10.03347687,76.31304632
Aashan Road,10.49541585,76.06554335
Government High School Edappally,10.01398057,76.30225725
Kaitharam,10.11422105,76.24303227
Palarivattom Pipeline Bus Stop,10.00485399,76.31182068
Ncc Junction,9.776195953,76.31803131
Vannappuram,9.994858019,76.78310788
Mala Junction,10.30776591,76.33726339
Attara Palam,9.738933827,76.40789497
Companypady,10.15818187,76.42944017
Muppathadam Junction,10.09164953,76.31784337
Medical College Junction,9.633566882,76.52425548
Pachalam Junction,10.00132353,76.27957004
Anganvadi,10.10703342,76.54656138
Nalam Block Kuriz,10.20070631,76.53943158
Chathamma Stop,9.887168514,76.33930027
Melambara Ambalam,9.703192261,76.74994497
Kollakode Junction,10.23248389,76.46902916
Ambalam,10.15106137,76.20937551
North Kunnumpuram Or Bramasthanam,10.04683429,76.29657813
South Vazhakkulam,10.0896767,76.41118098
Manjaly,10.15271495,76.27036259
Pharmacy,10.15113728,76.35424012
Rubber Park,10.04480089,76.48952659
Anjalathodu,9.826047272,76.33672547
Puthiya kaavu,9.924336478,76.35919265
Ayodhyapuram Or University,9.989602077,76.2286807
Pypin Chuvadu,9.791198316,76.3816444
Chettikunn Junction,10.23715493,76.34378982
Padinjarekkavala,9.772964567,76.42554377
Chandikkavala,10.23312438,76.41553247
Ramamangalam Hospital Junction Or Ramamangalam Aashupathry Padi,9.944137361,76.49110931
Pallithode Hospital Stop,9.776509506,76.28361382
Uthupankavala,10.20431803,76.42891301
Karunalayam,9.731904727,76.66407881
St Mary'S Church,10.0676583,76.26870764
North Kunnumpuram Or Bramasthanam,10.04717049,76.29628913
Acer,9.944514246,76.81276773
Vettikulam,9.889107409,76.40956071
Pattimukku,9.859044498,76.40535715
Alameen Public School Or Edapally Gate,10.02899389,76.30535703
Vadakkenada,10.22808808,76.19835735
Shasthri Junction,9.577698374,76.30649521
Chavittuvari,9.611349545,76.53336417
Ambalapady Bus Stop,10.06722186,76.33776869
Kavumpady,10.16567207,76.45719888
Eliyekunnu Stop,9.908106024,76.39937032
Railway Cross,9.821634475,76.301412
Edathala Panchayath,10.07198821,76.3814338
Kaarpullikav Ambala Nada,10.20237362,76.45312849
Valavu,9.939884638,76.41359293
Match Factory,10.1227906,76.44794975
Ambala Nada,10.00475578,76.31671684
Ravipuram Junction,9.956761046,76.28218379
Ayyam pilly stop,10.11768226,76.20017724
Vatanapally,10.46939075,76.08085171
Keeripilly,10.10136076,76.28238876
Paambra Junction,9.909241858,76.44042393
Kannamali Palli,9.8753361,76.26424333
Kurisumudy View Point,10.22717511,76.50310981
Kurishumuttam,10.06477299,76.27842503
Ambalakkulangara Temple,10.23281834,76.35092297
Adoorparambu Or Company Padi,9.972368299,76.60493765
Aquinas,9.913100983,76.28761635
Parambilpeedika Or Keezhilam,10.06577215,76.52590014
Fact Company,10.08914754,76.29504783
Vengachuvadu,9.935216926,76.65732737
Irumpanam Or Puthiya Road,9.957370441,76.35753515
Paittakulam,9.872978638,76.58275944
Paappan Pady,10.14019595,76.47983596
Aashupathry Padi,10.25231408,76.3955374
Millumpadi Or Panikarambalam,10.07894472,76.52335948
Cherthala Railway Station,9.691729495,76.32538719
Meempara,9.958431353,76.44274754
Kacherippady Cheranallur,10.05707231,76.28760747
Vaidhyanpadi,9.920796157,76.54744066
Vadakke Kotta,9.952992644,76.34034005
Vayalar Junction,9.723991595,76.31808065
Thrikkapuram,10.10809149,76.24758488
Thrikkakkara Temple,10.03444891,76.3296731
Mangalathunada Or Mangalathu Kalvala,10.01663925,76.502808
Ettungal Church,9.889517367,76.28539793
Chelakkulam,10.05139377,76.44911312
Sehyon Kappela,10.24167519,76.42333273
Munnoorpilly,10.28314044,76.4199009
Cet College,10.04018656,76.50291219
O Paalam,10.54632463,76.04338336
Vadakkum Puram,10.17915799,76.22618139
ambalamedu post office,9.984328038,76.38655007
Semithery,10.06899044,76.26860956
Madakkathanam,9.918744189,76.68535614
Keetholi Bus Stop Or Eethoni,10.20853081,76.20415277
Kayyuthi Palli,10.1411573,76.49323094
Puthencruz Stand,9.969377625,76.42332113
Assise Jn,10.19782487,76.25178545
Lissie Junction Or Manappatti Parambu,9.992534666,76.28978653
Eroor Or Eroor North,9.985872171,76.32997068
Thundathum Kadavu Or Attakkuzhy,10.06713032,76.26432295
Varappuzha Toll Junction Or Mannam Thuruthu Or Cheranelloor,10.07819175,76.27550219
Mambra Kadav,10.23335097,76.33865671
Ayurvedapadi,9.926936847,76.48386543
Alangad Kavu,10.12163651,76.29806641
Kumaranasan Bus Stop,9.978336029,76.2966788
Kezhakettam,9.898885208,76.71838592
Kusumagiri,10.01587465,76.35776603
Vaidyan Padi,10.10312421,76.56375941
Society Pady,10.01279816,76.52371917
Thamarakad Kavala,9.830728743,76.62093205
Shappumpady,9.95823247,76.46392705
Iyyattil Junction,9.972660732,76.28659106
Ghandakarna Kshethram,9.737034261,76.28910353
Akashavaani,10.12175643,76.30390007
Areekkathazham,9.921279105,76.53229474
Jayashree Kavala,9.860438535,76.40009289
Nehru Park,9.900221794,76.37817145
Mathrubhumi Junction,9.997021106,76.29473353
Sijo Stop,10.26541918,76.4068675
Panchayath Junction,9.798309437,76.39894787
Valiyavettil Kunnu,10.14236768,76.19015311
Perumbi,10.25862202,76.3642301
Mattiyambalam  Us Stop,9.905527982,76.28103888
Vallom,10.13561676,76.46780222
Cmfri,9.988482359,76.27144942
St Joseph Church,9.896669918,76.28406844
Chakkuketti Kavala,10.18619619,76.49682866
Parathijetti,10.06055239,76.27122648
Kanjiramattom Bypass Or Ever Shine,9.895294731,76.71812596
Kottappady Or Chenganal Junction,10.11737876,76.59010775
Medical College Or Kinfra,10.0537124,76.35342632
Kallumadom Ambalam,10.04699498,76.22828626
Estate,10.14460646,76.56287832
Deepthi Bhavan,10.2803806,76.42590415
Mathaipady Or Hospital Junction,10.16488637,76.43669201
Kurishingal,10.02653292,76.25537645
Kaanakkari,9.702357629,76.54777968
Kadackanad School,9.989228914,76.49586925
Pazhoor,9.884105847,76.4733083
Periyar,10.17892348,76.41768601
Pallimukk Bus Stop,10.1570317,76.25623146
Kochangaadi,9.800126706,76.39840227
Kunnukara Junction Or Theatre Junction,10.15469518,76.29366818
Angamaly Private Stand Or Railway Station,10.18426854,76.38012697
Aluva Private Bus Stand,10.10848821,76.35088569
Kattimuttom,9.872636323,76.4265909
Ettekkar Pally,10.08154403,76.37487071
Rajaji Nagar,10.03159543,76.43884706
Thond Kadav,10.16479499,76.45145948
Fact Company,10.08908641,76.29513271
Ottathengu,10.57407354,76.02748546
LP School Pangod,9.986580308,76.44584547
Parippumthode,10.23621113,76.39426467
Thungaali,10.15060587,76.54219647
Edackattukayattam,9.915569895,76.69013931
Iti Junction,10.05418387,76.32681734
High School,9.890801356,76.54585133
Parathodu,9.739540138,76.65391719
Perumpadanna,10.14383495,76.21663366
Pallipady,10.1620457,76.24217708
Puthooran Kavala,10.0769406,76.48952973
Chendamangalam Junction,10.14987024,76.23490362
Vattappara,9.854053926,76.44738035
Gandhinagar Road Junction,9.977461773,76.29425175
Seekkad,10.27380953,76.43699066
Murali Workshop,10.24031572,76.19223851
Muthammavu,10.55660601,76.03600314
Chakkukulam,9.871075395,76.38006922
Madathippady,10.08820151,76.44170435
Thekkan Malipuram Bus Stop,9.994795202,76.23723618
Areekkal Vellachattam,9.918855925,76.53742986
School Padi,10.00970226,76.27775978
Udayasurya,9.978074624,76.44511282
Thalayalam Panchayath,9.715558908,76.41707157
Karimpadam Road,10.16131902,76.2375212
Ramavarma,9.718281178,76.33750267
Maliyamkara,10.17499427,76.18172737
Chengamanad,10.15353016,76.34047846
Society,9.925595496,76.24849295
Pulinchodu,10.17762058,76.31805746
Ame Parambu,10.13511387,76.22579904
Pallippady,10.11045589,76.45964115
Ambala Padi,9.935737222,76.42226158
Marampally Or Chalakkal,10.11623442,76.40705828
Vishnupuram Temple,10.30492398,76.37320272
Maaraam Veedu,9.723225603,76.41567743
Thrikakara Vallathod,10.03251197,76.33604254
GCDA Junction,9.966554176,76.29854507
Kathrikkadavu Junction,9.983645283,76.29579506
Athani,10.13108739,76.23327261
Kavukada Stop,9.908575142,76.48665748
Mambra School,10.23467887,76.34259091
Kunjattukara,10.06536698,76.38994587
Nattika Panthrandam Kallu,10.42888975,76.10062925
Plavinchuvad,10.27301426,76.37577744
Baselios School,9.914204599,76.42298862
Kaithakaadu,9.716549856,76.2970518
Thiruvanniyoor,9.933106648,76.42312116
Muthammavu,10.55657899,76.03604471
Keezhillam Shappu,10.05849358,76.5277992
Keezhmad,10.11933193,76.38366138
Madathiparambil,9.989604891,76.32927059
Canal Padi,9.940389279,76.49708723
Shanthi Nagar,9.932367791,76.29901873
Deshabhimani Junction Bus Stop,9.998694194,76.29659541
Chavelipadam,10.05644974,76.51087328
Pallipady,10.0102414,76.42769884
Kattady,9.619448189,76.30050696
Kalady Private Stand,10.1670977,76.43701386
Elavoor Kavala,10.21622929,76.37857361
Asramam Junction,9.98266533,76.44237589
Pazhampilly,10.10193909,76.27010768
lodge,10.06290042,76.30134467
Puthenthodu,10.1534974,76.34762361
Kanjoor Junction,10.14525243,76.42611622
Nadamuri Road,10.21697618,76.44965043
Seethappadi,9.937327534,76.65319889
Thamarachal Puram,10.04638091,76.40678566
Sharadha Madam,9.792376268,76.38837696
Mattur College Bus Stop,10.17067834,76.4292303
Punnachuvadu,9.729500647,76.36177093
Nm Junction,9.901620936,76.32169437
Sreedhareeyam Stop,9.866131332,76.58022104
Thiruvaniyoor Or Oen Connectors,9.926653253,76.41690942
Sndp Temple,10.1589838,76.20007714
Erachi Pura,10.15973885,76.17215825
Thrithalloor Centre,10.48617118,76.07122446
Kurekkadu,9.926892131,76.37394235
Pyary Junction,9.931843106,76.26655739
Kochu Edapady,9.711396925,76.70851216
Nayathod School,10.16857661,76.39841659
Vaikom Pazhe Private Stand,9.751836988,76.39051991
Valakkara,10.09028375,76.47774029
Shapumpady,10.22817433,76.41505041
Pulinchod Or Cheppanem Bund,9.904378756,76.33055226
Panchayath Junction,10.09618855,76.3175661
Nedumthode,10.10219438,76.45722286
Arathi Veli,10.1217628,76.23699486
Diary Stop,10.13702087,76.43250367
Puillamukk,9.8301275,76.30952845
Navajeen Nagar,10.05869844,76.5277604
Indira Junction,9.711974856,76.33738297
Deepthi,9.704145726,76.74049161
Kumbalanghi Bus Stand,9.851375661,76.29406045
Kaloor Church Or St Antonys Church,9.997708018,76.29561718
Karayaparambu,10.21088372,76.38163046
Pallippuram Stop,10.22922311,76.25596607
Kochamukku,10.00128968,76.22385638
Poomkavu,9.529096629,76.31625465
Thanki Vazhi  Kadathu Kadavu,9.707419238,76.28892659
Panjipaalam,9.803528164,76.39757055
Karthavumpadi,10.06339942,76.50419218
Brahmapuram,9.815117464,76.42362033
Parakkadavu Block Office,10.1705676,76.32996108
Vadavukode,9.985542171,76.42858335
Sankranthi,9.626596945,76.54008039
Kochal Bus Stop,10.11208226,76.26040123
Kurishintte Vazhi,9.704738296,76.28912015
Thottam,9.813434799,76.4407981
Kanjoor Junction,10.14515771,76.42608437
Malavana,10.17110813,76.25678295
Pallikkara,10.02470242,76.40355652
Aanikkadu Pallithazham,9.964181079,76.61576474
Poothrikka Thazhe,9.953287682,76.4533858
Kanal Kavala Or Canal Bund Road,10.20248152,76.41323737
Kadukulangara,10.22136324,76.46777111
Thrippunithura,9.942907828,76.34554846
neduvannur gate,10.14112306,76.37685449
Pannikuzhy,9.973302453,76.41767607
Archana Hospital,9.903481839,76.71117686
Shapumpadi,9.870563848,76.43510422
Mundupalam,9.721583161,76.67879112
Gas Godown,10.01054335,76.22104743
Nayarambalam Bus Stop,10.07210647,76.21180845
H H A Stop,9.950766463,76.26845167
Ernakulam Medical Center Or Emc Bus Stop,9.999561264,76.31381929
Thuruthippuram,10.17179031,76.21197049
Punnayam Ambalam,10.10963844,76.5454123
Maruthy Junction,9.854757049,76.59763156
Vattukunnu,9.91376061,76.38771978
Mannathoor,9.908614492,76.5580889
Meenpara,10.16532319,76.53079603
Padathikkara,10.00154061,76.39461073
Paalam Or Kotekavu Church,10.15009265,76.21702941
Silverster Junction,9.98070112,76.54558405
Bazar,9.828713598,76.27180839
Arakunnam Palli,9.88689266,76.43367813
Panchayath Kinar,10.23021133,76.36156563
Cheranalloor Ferry Bus Stand,10.0723262,76.28283147
Kudilpeedika,10.15589057,76.31615177
Vellakkattel Padi,9.871946107,76.56848366
Vettukadavu,10.00855692,76.2188904
District Jail Or Adarsh Bus Stop,10.0038957,76.34697118
Parapuram,10.22732836,76.38999609
Gandhipuram,10.12272441,76.36673164
Central Junction,9.687245575,76.77921491
Maharajas College Ground,9.973051405,76.28503314
Bavapady,10.06805099,76.40634454
Mattancherry Warf Or Harbour Treminal Railway Bus Stop,9.96045726,76.26714167
Saradhi Junction,9.559731032,76.31006298
Shappu Junction,10.26931984,76.40925467
Muttom,10.07455919,76.33543054
Pathalam Geetha,10.07896142,76.32088152
Kaipamangalam Board,10.34408701,76.13513679
Shanthi Nagar,9.932620373,76.29908053
Kuruppampady,10.10917957,76.51921705
Hindalco Or Iac,10.07914514,76.32749921
Reshan Kada,10.08378358,76.2376806
Rajeev Gandhi Stop,10.0042473,76.33937617
Thaikavu Junction,10.07660123,76.37894909
Maamoonju Mukku,9.900357922,76.33563857
Vishnu puram Ambalam,10.05137253,76.28955361
Puthiya Road,10.06820813,76.32270647
Edappally Church Bus Stop,10.02073499,76.30586207
Kamoth,9.896812739,76.32445163
Kinar,9.932502209,76.35393481
Spring Dales School Stop,9.923335297,76.52578273
Maapurackal,9.914109484,76.55581717
Sndp Or Paarakulam,10.19743716,76.45362906
Millumpady,9.845373383,76.53496896
Pullinchodu,9.894311292,76.31037047
Mukkanoor Hospital Junction,10.22091997,76.4129535
Kanal,10.14263237,76.37469852
Thottumugam Junction,10.11077037,76.37301071
Chenoor Kavala,10.06764126,76.269008
Alinchodu Or Nambooriyachan Bus Stop,10.14864546,76.22852229
Millumpady,10.08812118,76.63722949
D L B Stop,9.964068628,76.26522011
Amala Pooram,10.219101,76.46156798
Paapu Kavala,9.923904546,76.52251879
Panayapilly,9.949551658,76.25571942
Kottattal Bhagavathi Temple,10.17022546,76.24082633
Orthodos Pally,10.14411504,76.54627344
Hospital Road,10.58738365,76.02463418
Shavakotta Paalam,9.499737848,76.32853079
Netoor Palli,9.922933783,76.31737032
Iruppachira,9.999896698,76.44143011
Kseb,10.1837025,76.24787109
Njaliparambu,9.962944995,76.24313911
Ymca,10.00665193,76.42943966
Arattuvazhy Junction,9.504967029,76.32842874
Njaralloor,10.03589105,76.42291036
Jacobic Pally,10.08687229,76.23665364
Schoolum Padi,9.999534433,76.55695592
Kurishumuttam,10.06482063,76.28103018
Kaanjoor,10.14152219,76.42902644
Ration Kada,9.86094765,76.43880742
Aluva Bypass Bus Stop,10.11019812,76.34894672
Koothukad Pally,10.17308916,76.22322215
Ashamannoor School Or Ashamannoor Paalam,10.11004502,76.55209688
Diary Stop,10.13702351,76.43243963
Chembu Juma Masjid,9.814559152,76.39534091
Pulikamaali.Kavala,9.888849265,76.41917099
Town Little Flower,10.19235425,76.38245665
Medical College Stop,9.982409905,76.47314906
Snehagiri,10.23162041,76.29232557
Mulappuram Aituc,9.939133812,76.80135989
Ferry Stop,9.869781268,76.31548406
Vishwakarma Junction,9.787444328,76.45862227
Gothuruth Kadavu,10.18829341,76.20428999
Millumpady,10.08840382,76.63725578
Panangaadu School Stop,10.27312558,76.17459299
Millumpady,10.03364052,76.35699217
Arthunkkal Palli,9.660654525,76.29929733
Kurishupalli,10.03526425,76.42640585
Hostel Padi,9.974360561,76.59683789
Thattanpady Bus Stop,10.13534037,76.42454236
Vallarpadam,9.977994166,76.255524
Company Pady,10.13829085,76.50810727
Chembu Juma Masjid,9.814560804,76.3953218
Palli Padi,10.01000103,76.56838805
Kumaramangalam,10.15696139,76.23389969
Kizhupillypady,9.957169028,76.30216144
Chavadi,9.774142102,76.3061667
Paalachuvadu,9.952778194,76.38583342
Manachery,9.921651886,76.25052047
pallypady,10.14100593,76.36167323
Chittoor Ferry,10.038113,76.269865
